 Source Name ;Alternate Name(s);Type ;TypeID;Gal_Long;Gal_Lat;RA;Dec;Skymap_x;Skymap_y;Distance(kpc/z);Energy(MeV);General Information 
LMC X-4;1A 0532-66,1H 0534-667,4U 0532-66;HMXRB;1;276.34;-32.53;83.21;-66.37;-70.5346;-32.5300;52;0.05–0.08;"Flux measurement (Levine et al. 1984); distance based on LMC"
MCG +8-11-11;1H 0551+463;Seyfert 1;3;165.73;10.41;88.72;46.44;163.0021;10.4100;0.021;0.05–0.15;"Low-energy spectra (Mushotzky et al. 1978; Frontera et al. 1979b)"
MCG -5-23-16;EQ 0945-307;Seyfert 2;3;262.74;17.23;146.92;-30.95;-92.8953;17.2300;0.008;0.05–0.15;"Spectrum (Rothschild et al. 1983); flux measurement(Johnson et al. 1993)"
MCG -6-30-15;EQ 1333-340;Seyfert 1;3;313.29;27.68;203.98;-34.3;-41.3643;27.6800;0.07;0.05–0.15;Low-energy gamma-ray emission (Johnson et al. 1994)
MRK 279;1H 1350+696,QSO 1351+695;Seyfert 1;3;115.04;46.87;208.26;69.31;78.6478;46.8700;0.029;0.05–0.15;"Low-energy gamma-ray emission (Johnson et al. 1994; Rothschild et al. 1983)"
MRK 421;QSO 1101+386,2EG 1104+3812,1H 1104+382,2E 1101.6+3828;Quasar;7;179.83;65.03;166.11;38.21;75.9141;65.0300;0.031;100500000;"Original high-energy detection (Lin et al. 1993); TeV flare (Kerrick et al. 1995); multiwavelength observations (Macomb et al. 1995)"
MRK 463;IRAS F13536+1836;Seyfert 2;3;5.81;72.74;209.01;18.37;1.7239;72.7400;0.0505;0.05–0.1;Gamma-ray flux (Bassani et al. 1996)
MRK 501;4U 1651+39,H1652+398,QSO 1652+398,RX J16538+3945,2E 1652.1+3950;BL Lac;7;63.6;38.86;253.47;39.76;49.5241;38.8600;0.033;300000;Discovery of TeV emission (Quinn et al. 1996)
MRK 509;1H 2041-108,3A 2041-107;Seyfert 1;3;35.97;-29.86;311.04;-10.72;31.1948;-29.8600;0.034;0.05–0.15;"Low-energy gamma-ray emission (Johnson et al. 1994; Dil et al. 1981)"
NGC 1275;PER A;Seyfert 2;3;150.58;-13.26;49.95;41.51;146.5654;-13.2600;0.018;0.05–0.20;"Gamma-ray spectrum (Rothschild et al. 1981; Matt et al. 1990; Ubertini et al. 1984; Johnson et al. 1994);"
NGC 253;PKS 0045-25,RX J00475-2517,2E 0045.1-2533,1Jy 0045-25;Galaxy;4;97.3;-87.96;11.89;-25.29;3.4636;-87.9600;0.000817;0.05–0.165;"Low-energy continuum emission (Bhattacharya et al. 1994); high-energy upper limits related to cosmic-ray acceleration in supernovae (Paglione et al. 1996)"
NGC 3783;1H 1135-372;Seyfert 1;3;287.46;22.95;174.76;-37.74;-66.7981;22.9500;0.011;0.05–0.15;"Low-energy gamma-ray emission (Johnson et al. 1994; Rothschild et al. 1983)"
NGC 4151;H1208+396;Seyfert 1.5;3;155.08;75.06;182.64;39.41;39.9808;75.0600;0.003;0.05–0.56;"Review of high-energy observations (Perotti et al. 1991); pair model including reprocessing (Coppi & Zdziarski 1992); generalized Compton model (Titarchuk & Mastichiadis 1994); combined nonthermal/thermal model (Zdziarski, Lightman & Maciolek-Niedzwiecki1993); gamma-ray spectroscopy (Frontera et al. 1979b; Baity et al. 1984; Maisack et al. 1993; Churazov et al. 1994)"
NGC 4388;MCG+02-32-041;Seyfert 2;3;279.18;74.34;186.45;12.65;-21.8156;74.3400;0.008;0.05–0.15;"Spectroscopy (Dil et al. 1981); flux measurements (Johnson et al. 1994; Lebrun et al. 1992)"
NGC 4507;EQ 1232-396;Seyfert 2;3;299.64;22.86;188.9;-39.91;-55.6191;22.8600;0.013;0.05–0.20;Gamma-ray spectrum (Bassani et al. 1995)
NGC 5506;1E 1410.6-0258,4U 1410-03,2A 1410-029,1H 1408-031;Seyfert 2;3;339.15;53.81;213.31;-3.21;-12.3112;53.8100;0.006;0.05–0.1;Gamma-ray flux (Bassani et al. 1996)
NGC 5548;H1415+253;Seyfert 1.5;3;31.96;70.5;214.5;25.13;10.6685;70.5000;0.017;0.05–0.15;"Spectrum (Rothschild et al. 1983); flux measurement (Johnson et al. 1994)"
NGC 6814;QSO 1939-104;Seyfert 1;3;29.35;-16.01;295.67;-10.32;28.2116;-16.0100;0.005;0.05–0.15;Low-energy gamma-ray emission (Johnson et al. 1994)
NGC 7582;PKS 2315-426;Seyfert 2;3;348.08;-65.7;349.6;-42.37;-4.9053;-65.7000;0.005;0.05–0.15;Flux measurement (Johnson et al. 1994)
Nova Muscae 1991;GRS 1124-68;LMXRB;1;295.3;-7.07;171.61;-68.68;-64.2081;-7.0700;4;0.05–0.3;"Peak flux and spectrum with possible annihilation feature (Goldwurm et al. 1992); distance (King, Harrison, & McNamara 1996)"
NRAO 190;1E 0439.9-0023,QSO 0440-003,2EGS J0442-0033,1Jy 0440-003;Quasar;7;197.2;-28.46;70.66;-0.29;-143.1256;-28.4600;0.85;100;"Flux measurement and identification (Thompson et al. 1996); detection of a gamma-ray flare (McGlynn et al. 1997)"
OAO 1657-415;H1657-415;HMXRB;1;344.45;0.31;255.2;-41.67;-15.5498;0.3100;;0.05–0.08;"Flux measurement (Levine et al. 1984; Mereghetti et al. 1991)"
OJ 287;QSO 0851+202,2E 0851.9+2018,1Jy 0851+20;BL Lac;7;206.81;35.82;133.7;20.11;-124.2156;35.8200;0.31;100;High-energy detection and multiwavelength observation (Shrader, Hartman, & Webb 1995)
Perseus;4U 0316+41,H0316+413,2E 0316.5+4120;Cluster;4;150.58;-13.26;49.96;41.53;146.5654;-13.2600;0.184;0.05–0.08;Flux measurement (Levine et al. 1984)
PG 1416-129;QSO 1416-1256,2E 1416.3-1256;Quasar;7;333.5;44.43;214.76;-13.18;-18.9238;44.4300;0.089583333;0.05–0.15;Gamma-ray flux (Staubert & Maisack 1996)
PKS 0235+164;2EG J0238+1657,2E 0235.8+1624,1Jy 0235+16;Quasar;7;156.77;-39.11;39.66;16.61;121.6435;-39.1100;0.94;70–10000;High-energy flux (Thompson et al. 1995)
PKS 0446+112;2EG J0450+1122,1Jy 0446+11;Quasar;7;187.43;-20.74;72.28;11.36;-161.3870;-20.7400;1.21;30;Flux measurements (Thompson et al. 1995)
PKS 0454-234;2E 0454.9-2329,1Jy 0454-234;Quasar;7;223.71;-34.9;74.26;-23.41;-111.7785;-34.9000;1;100;"Gamma-ray detections (Fichtel et al. 1993; Thompson et al. 1993c)"
PKS 0528+134;2EG J0531+1324,RX J05039+1332,2E 0528.1+1329,1Jy 0528+134;Quasar;7;191.37;-11.01;82.73;13.53;-165.5262;-11.0100;2.06;0.05–0.15,0.75;"High-energy spectrum and variability (Hunter et al. 1993a); low-energy spectrum (McNaron-Brown et al. 1995); medium-energy observations (Collmar et al. 1997)"
PKS 1622-297;1Jy 1622-297;Quasar;7;348.82;13.32;246.53;-29.86;-10.8792;13.3200;0.815;0.05–0.8,30–4000;Gamma-ray flare (Mattox et al. 1997)
PKS 2155-304;1H 2156-304,3A 2156-306,2E 2155.9-3027;BL Lac;7;17.73;-52.25;329.72;-30.22;10.8546;-52.2500;0.116;0.5–0.15,30–10000;"High-energy emission (Vestrand, Stacy, & Sreekumar 1995); hard X-ray detection (McNaron-Brown et al. 1995)"
PKS 2209+236;2EG J2210+2358;Quasar;7;82.24;-26.09;333.03;23.93;73.8601;-26.0900;;30;"High-energy flux (Thompson et al. 1995); spectral information (Dingus et al. 1996)"
PSR 1509-58;Cir Pulsar,PSR J1513-5908;Pulsar;2;320.32;-1.16;228.48;-59.14;-39.6719;-1.1600;6.7;0.04–5;"Comparison of gamma-ray and radio pulsations (Ulmer et al. 1993); hint of a detection with COMPTEL (Bennett et al. 1994)"
PSR B0656+14;2E 0656.9+1418;Pulsar;2;201.11;8.26;104.59;14.24;-157.2417;8.2600;0.76;100;Pulsed high-energy emission (Ramanamurthy et al. 1996)
PSR B1055-52;2EG J1059-5237,PSR J1057-5226;Pulsar;2;285.98;6.65;164.5;-52.45;-73.5220;6.6500;1.5;100–4000;Pulsed high-energy emission (Fierro et al. 1993)
PSR B1259-63;;HMXRB;1;304.18;-0.99;195.7;-63.84;-55.8117;-0.9900;2;0.05–0.2;"Gamma-ray detection (Grove et al. 1995b); distance (Johnston et al. 1994)"
PSR B1706-44;2CG 342-02,2EG J1710-4432;Pulsar;2;343.05;-2.68;257.39;-44.52;-16.9315;-2.6800;1.5;50–10000,1000000;"Gamma-ray spectroscopy and pulse (Thompson et al. 1996); original detection as 2CG 342-02 (Swanenburg et al. 1981); very high-energy detection of unpulsed emission (Kifune et al. 1995)"
PSR B1951+32;;Pulsar;2;68.77;2.82;298.24;32.88;68.6867;2.8200;1.3;100;"Detection of pulsed emission (Ramanamurthy et al. 1995); claims and counterclaims regarding COS B detection (Li et al. 1987; D'Amico et al. 1987)"
QSO 1424-418;2EGS J1429-4224;Quasar;7;321.57;16.9;217.32;-42.4;-36.7703;16.9000;1.52;100;Flux measurement and identification (Thompson et al. 1996)
QSO 0130-171;2EG J0129-1748;Quasar;7;168.21;-77.18;22.39;-17.8;37.3239;-77.1800;1.02;100;High-energy flux (Thompson et al. 1995)
QSO 0202+149;2EG J0204+1512,4C 15.05,1Jy 0202+14;Quasar;7;147.93;-44.04;31.21;15.24;106.3402;-44.0400;0.833;100;High-energy flux (Thompson et al. 1995)
QSO 0208-512;2EG J0210-5051,RX J02107-5100,1Jy 0208-512;Quasar;7;276.1;-61.78;32.69;-51.02;-39.6728;-61.7800;1;1–3,30–4000;"MeV detection (Blom et al. 1995); high-energy spectrum (Bertsch et al. 1993)"
QSO 0420-014;2EG J0423-0058,RX J04232-0120,2E 0420.7-0127,1Jy 0420-01;Quasar;7;195.29;-33.14;65.82;1.34;-137.9178;-33.1400;0.915;50–2000;"High-energy spectrum (Radecke et al. 1995); correlative gamma-ray/optical flares and consequences (Wagner et al. 1995a)"
QSO 0458-020;2EG J0458-0122,4C-02.19,2E 0458.6-0203,1Jy 0458-02;Quasar;7;201.45;-25.3;75.3;-1.99;-143.3423;-25.3000;2.29;100;High-energy flux (Thompson et al. 1995)
QSO 0521-365;2EG J0524-3630;BL Lac;7;240.61;-32.72;80.74;36.46;-100.4455;-32.7200;0.061;50–1000;High-energy spectrum (Lin et al. 1995)
QSO 0537-441;2EG J0536-4348,RX J05388-4405,2E 0537.3-4406,1Jy 0537-441;Quasar;7;250.08;-31.09;84.71;-44.09;-94.1308;-31.0900;0.896;100–1000;High-energy spectrum (Thompson et al. 1993b)
QSO 0716+714;2EG J0720+7126,1H 0717+714,RX J07218+7120,2E 0716.2+7126,1Jy 0716+71;BL Lac;7;143.98;28.02;110.47;71.34;127.1032;28.0200;0.3;50–1000;High-energy spectrum (Lin et al. 1995)
QSO 0735+178;2EG J0737+1725;BL Lac;7;202.09;17.91;114.47;17.43;-150.2578;17.9100;0.424;30–300;"High-energy flux (Thompson et al. 1995; Nolan et al. 1996)"
QSO 0804+499;2EG J0807+4849,1Jy 0804+49;Quasar;7;169.16;32.56;122.17;49.84;142.5728;32.5600;1.43;30–1000;"High-energy flux (Thompson et al. 1995); Spectrum (Nolan et al. 1996)"
QSO 0827+243;2EG J0831+2403,2E 0827.8+2421,RX J08308+2410;Quasar;7;200.02;31.88;127.72;24.18;-135.8480;31.8800;2.05;100;"Flux measurements (Thompson et al. 1995); spectrum (Nolan et al. 1996)"
QSO 0829+046;2EG J0828+0510,2E 0829.1+0439;BL Lac;7;220.69;24.33;127.95;4.49;-126.9376;24.3300;0.18;100;High-energy detection (Thompson et al. 1995)
QSO 0836+710;2EG J0831+7044,4C 71.07,1Jy 0836+71;Quasar;7;143.54;34.43;130.35;70.9;118.3943;34.4300;2.17;30–1000;"High-energy flux (Thompson et al. 1995); Spectrum (Nolan et al. 1996)"
QSO 0917+449;GRO J0916+43,2EG J0917+4420,RX J0920.9+4441;Quasar;7;175.7;44.82;140.24;44.7;124.6284;44.8200;2.18;30–1000;Gamma-ray spectrum (Sreekumar et al. 1996)
QSO 0954+556;2EG J0957+5515,RX J09576+5523,1Jy 0954+556,4C 55.17;Quasar;7;158.6;47.93;149.41;55.38;106.2680;47.9300;0.901;100;"High-energy flux (Thompson et al. 1995); spectral information (Sreekumar et al. 1996)"
QSO 0954+658;GRO J0937+68,2EG J0958+6537;BL Lac;7;145.73;43.03;149.51;65.63;106.5281;43.0300;0.367;100–1000;"High-energy flux (Thompson et al. 1995); spectral information (Mukherjee et al. 1995)"
QSO 1127-145;2EG J1134-1515,2E 1127.5-1432,1Jy 1127-145;Quasar;7;275.28;43.64;172.53;-14.82;-61.3110;43.6400;1.19;100–1000;"High-energy flux (Thompson et al. 1995); spectral information (Sreekumar et al. 1996)"
QSO 1156+295;2EG J1158+2906,RX J11595+2914,4C 29.45;Quasar;7;199.42;78.38;179.88;29.25;-32.3440;78.3800;0.729;100;"High-energy flux (Thompson et al. 1995); spectral information (Sreekumar et al. 1996)"
QSO 1219+285;RX J12215+2813,2E 1219.0+2830,W Com,2EGS J1222+2821;BL Lac;7;201.74;83.29;185.38;28.23;-18.4917;83.2900;0.102;100;High-energy flux (Thompson et al. 1996)
QSO 1222+216;GRO J1222+22,2EG J1224+2155,RX J12249+2122,4C 21.35;Quasar;7;255.07;81.66;186.23;21.38;-15.2198;81.6600;0.435;30–1000;"High-energy flux (Thompson et al. 1995); spectral information (Sreekumar et al. 1996)"
QSO 1229-021;2EG J1230-0254,2E 1229.4-0207,1Jy 1229-02;Quasar;7;293.16;60.1;188;-2.4;-33.3189;60.1000;1.04;30–1000;"High-energy flux (Thompson et al. 1995); spectral information (Sreekumar et al. 1996)"
QSO 1313-333;2EG J1314-3430,1Jy 1313-333;Quasar;7;308.8;28.94;199.03;-33.65;-44.8065;28.9400;1.21;100;"High-energy flux (Thompson et al. 1995); spectral information (Nolan et al. 1996)"
QSO 1317+520;2EG J1314+5151,RX J13197+5148,4C 52.27;Quasar;7;112.63;64.76;199.94;51.8;48.0267;64.7600;1.06;100;High-energy flux (Thompson et al. 1995)
QSO 1331+170;2EG J1330+1652;Quasar;7;348.51;75.81;203.4;16.82;-2.8166;75.8100;2.1;100;High-energy flux (Thompson et al. 1995)
QSO 1406-076;2EG J1409-0742,1Jy 1406-076;Quasar;7;333.88;50.28;212.24;-7.87;-16.6916;50.2800;1.49;30;"Flux measurements (Thompson et al. 1995); high-energy spectrum (Sreekumar et al. 1996); correlated optical and gamma-ray observations (Wagner et al. 1995b)"
QSO 1510-089;2EG J1513-0857,2E 1510.1-0854,1Jy 1510-08;Quasar;7;351.29;40.14;228.21;-9.1;-6.6585;40.1400;0.36;100–300;"High-energy flux (Thompson et al. 1995); spectral information (Sreekumar et al. 1996)"
QSO 1604+159;2EG J1605+1558,4C 15.54,2E 1604.8+1559;BL Lac;7;29.38;43.41;241.78;15.86;21.3432;43.4100;0.357;100–1000;"High-energy detection (Thompson et al. 1995); spectral information (Sreekumar et al. 1996)"
QSO 1606+106;2EG J1608+1046,RX J16087+1028,2E 1606.3+1036,1Jy 1606+10,4C 10.45;Quasar;7;22.95;40.87;242;10.5;17.3547;40.8700;1.24;30–1000;"Flux measurements (Thompson et al. 1995); high-energy spectrum (Sreekumar et al. 1996)"
QSO 1611+343;2EG J1614+3431,RX J16136+3412,1Jy 1611+343;Quasar;7;55.15;46.38;243.42;34.21;38.0465;46.3800;1.4;100;"Flux measurements (Thompson et al. 1995); high-energy spectrum (Sreekumar et al. 1996)"
QSO 1622-253;2EG J1626-2452;Quasar;7;352.14;16.32;246.45;-25.46;-7.5433;16.3200;0.786;30;High-energy flux (Thompson et al. 1995)
QSO 1633+382;4C 38.41,1Jy 1633+38,GRO J1635+38,2EG J1635+3813;Quasar;7;61.09;42.34;248.81;38.13;45.1553;42.3400;1.81;100;High-energy spectrum (Mattox et al. 1993)
QSO 1730-130;2EG J1735-1312,GRO J1730-11,RX J17330-1304,2E 1730.2-1302;Quasar;7;12.03;10.81;263.26;-13.08;11.8165;10.8100;0.9;30;"Flux measurements (Thompson et al. 1995); spectral information (Nolan et al. 1996)"
QSO 1739+522;GRO J1742+49,2EG J1739+5152,4C 51.37,RX J17405+5211,2E 1739.5+5213,1Jy 1739+522;Quasar;7;79.56;31.75;265.15;52.2;67.6540;31.7500;1.38;30;"High-energy flux (Thompson et al. 1995); spectral information (Nolan et al. 1996)"
QSO 1908-201;2EG J1911-1945,GRO J1911-20;Quasar;7;16.87;-13.22;287.79;-20.12;16.4229;-13.2200;;30;"Flux measurements (Thompson et al. 1995); spectral information (Dingus et al. 1996)"
QSO 1933-400;2EG J1934-4014,RX J19372-3958,1Jy 1933-400;Quasar;7;359.16;-25.37;294.32;-39.97;-0.7590;-25.3700;0.966;30;"Flux measurements (Thompson et al. 1995); spectral information but possible alternative identification (Dingus et al. 1996)"
QSO 2005-489;RX J20094-4849,1Jy 2005-489,GEV J2009-4827;BL Lac;7;350.37;-32.6;302.35;-48.83;-8.1128;-32.6000;0.071;100;Review of high-energy observations (Lin et al. 1997)
QSO 2022-077;2EG J2023-0836;Quasar;7;36.9;-24.38;306.42;-7.59;33.6095;-24.3800;0.697;30;"Flux measurements (Thompson et al. 1995); high-energy spectrum (Dingus et al. 1996)"
QSO 2052-474;2EG J2058-4657;Quasar;7;352.59;-40.38;314.07;-47.25;-5.6447;-40.3800;1.49;100;High-energy spectrum (Lin et al. 1995)
QSO 2200+420;QSO 2200+420,1Jy 2200+420,2E 2200.6+4202;BL Lac;7;92.59;-10.44;330.68;42.28;91.0572;-10.4400;0.069;100;Gamma-ray spectrum (Catanese et al. 1997)
QSO 2356+196;2EG J0000+2041;Quasar;7;106.38;-41.25;359.69;19.92;79.9807;-41.2500;1.07;100;High-energy flux (Thompson et al. 1995)
Rho Oph;2CG 353+16;Molecular cloud;4;353.22;16.53;247.03;-24.54;-6.4998;16.5300;;100;Recent gamma-ray observations (Hunter et al. 1994)
Sco X-1;H1617-155,4U 1617-15,3A 1617-155;LMXRB;1;359.09;23.78;244.98;-15.64;-0.8327;23.7800;1.3;0.05–0.3;"Low-energy spectroscopy (Haymes et al. 1972); flux measurements (Greenhill et al. 1979; Soong & Rothschild 1983); distance (Christian & Swank 1997)"
SCT X-1;1A 1829-06,1H 1832-076;HMXRB;1;24.46;-0.16;279.12;-7.61;24.4599;-0.1600;;0.05–0.08;Flux measurements (Levine et al. 1984)
SGR 1806-20;;SGR;6;9.97;-0.25;272.15;-20.44;9.9699;-0.2500;14.5;0.5–0.15;"Burst detection (Kouveliotou et al. 1987); identification with SNR 10.0-0.3 (Kulkarni & Frail 1993); distance (Corbel et al. 1997)"
SGR 1900+14;;SGR;6;46.7;4.01;285.58;14.07;46.5857;4.0100;;0.05–0.30;Recent burst spectroscopy (Kouveliotou et al. 1993), possible X-ray counterpart (Vasisht et al. 1994)
SLX 1735-269;;Accretor;1;0.81;2.46;264.52;-26.95;0.8093;2.4600;;0.05–0.15;Gamma-ray spectrum and variability (Goldwurm et al. 1996)
SMC X-1;4U 0115-73,2A 0116-737,1E 0115.5-7342;HMXRB;1;300.41;-43.56;19.27;-73.44;-43.1821;-43.5600;65;0.05–0.08;"Flux measurement (Levine et al. 1984); spectrum (Kunz et al. 1993); distance defined as SMC distance (Wang & Wu 1992)"
SMC X-3;H0050-727,3A 0049-726,2S 0050-727;HMXRB;1;302.86;-44.69;13.03;-72.44;-40.6221;-44.6900;65;0.05–0.08;"Flux measurement (Levine et al. 1984); distance defined as SMC distance (Wang & Wu 1992)"
SN 1987A;;Supernova;6;279.7;-31.94;83.87;-69.27;-68.1428;-31.9400;51.1;0.05–0.3,0.847,1.238;"Low-energy continuum spectrum (Palmer et al. 1993; Ubertini et al. 1989); low energy flux measurements (Sunyaev et al. 1987a); detections of line emission (Tueller et al. 1990; Matz et al. 1988; Sandie et al. 1988); distance (Panagia et al. 1991)"
SN 1993J;;Supernova;6;142.15;40.92;148.85;69.02;107.4121;40.9200;6360;0.05–0.15;Low-energy continuum emission (Leising et al. 1994)
SS 433;1H 1908+047,1A 1909+04,4U 1908+05,V1343 Aql;HMXRB;1;39.69;-2.24;287.96;4.98;39.6597;-2.2400;4.85;1–2;"Possible MeV line emission (Lamb et al. 1983); distance (Vermeulen et al. 1993)"
TRA X-1;A 1524-62,2S 1524-617;LMXRB;1;320.32;-4.43;232.07;-61.88;-39.5615;-4.4300;4.4;0.05–0.1;"Spectral observation (Barret et al. 1992a); distance (Christian & Swank 1997)"
Vela Pulsar;PSR B0833-45,2EG J0835-4513,4U 0833-45;Pulsar;2;263.55;-2.79;128.84;-45.18;-96.3357;-2.7900;0.5;0.05–0.6,1–3000;"Peak separation as a function of energy (Ramanamurthy 1994); spectral variability (Grenier, Hermsen, & Clear 1988; Grenier et al. 1993)"
Vela X-1;H0900-403,4U 0900-40,3A 0900-403;HMXRB;1;263.06;3.93;135.28;-40.55;-96.7120;3.9300;2;0.05–0.7,300000;"Low-energy spectra (Bautz et al. 1983; Staubert et al. 1980); TeV emission (Raubenheimer et al. 1994; Carraminana et al. 1989); distance (Sadakane et al. 1985)"
Virgo Cluster;H1228+125;Galaxy cluster;4;281.63;75.18;187.5;13.2;-20.0457;75.1800;0.0038;0.05–0.08;Flux measurement (Levine et al. 1984)
X 1732-304;CL TERZAN 1;Accretor;1;357.56;0.9;263.95;-30.48;-2.4397;0.9000;10;0.05–0.075;Gamma-ray detection (Borrel et al. 1996)
